Date,Country,Confirmed,Recovered,Deaths
2020-03-31,Afghanistan,174,5,4
2020-03-31,Albania,243,52,15
2020-03-31,Algeria,716,46,44
2020-03-31,Andorra,376,10,12
2020-03-31,Angola,7,1,2
2020-03-31,Antigua and Barbuda,7,0,0
2020-03-31,Argentina,1054,240,27
2020-03-31,Armenia,532,30,3
2020-03-31,Australia,4559,358,18
2020-03-31,Austria,10180,1095,128
2020-03-31,Azerbaijan,298,26,5
2020-03-31,Bahamas,14,1,0
2020-03-31,Bahrain,567,295,4
2020-03-31,Bangladesh,51,25,5
2020-03-31,Barbados,34,0,0
2020-03-31,Belarus,152,47,1
2020-03-31,Belgium,12775,1696,705
2020-03-31,Belize,3,0,0
2020-03-31,Benin,9,1,0
2020-03-31,Bhutan,4,0,0
2020-03-31,Bolivia,107,0,6
2020-03-31,Bosnia and Herzegovina,420,17,13
2020-03-31,Botswana,4,0,1
2020-03-31,Brazil,5717,127,201
2020-03-31,Brunei,129,45,1
2020-03-31,Bulgaria,399,17,8
2020-03-31,Burkina Faso,261,32,14
2020-03-31,Burma,15,0,1
2020-03-31,Burundi,2,0,0
2020-03-31,Cabo Verde,6,0,1
2020-03-31,Cambodia,109,23,0
2020-03-31,Cameroon,193,5,6
2020-03-31,Canada,8527,1592,101
2020-03-31,Central African Republic,3,0,0
2020-03-31,Chad,7,0,0
2020-03-31,Chile,2738,156,12
2020-03-31,China,82279,76206,3309
2020-03-31,Colombia,906,31,16
2020-03-31,Congo (Brazzaville),19,0,0
2020-03-31,Congo (Kinshasa),98,2,8
2020-03-31,Costa Rica,347,4,2
2020-03-31,Cote d'Ivoire,179,7,1
2020-03-31,Croatia,867,67,6
2020-03-31,Cuba,186,8,6
2020-03-31,Cyprus,262,23,8
2020-03-31,Czechia,3308,45,31
2020-03-31,Denmark,3039,77,90
2020-03-31,Diamond Princess,712,603,10
2020-03-31,Djibouti,30,0,0
2020-03-31,Dominica,12,0,0
2020-03-31,Dominican Republic,1109,5,51
2020-03-31,Ecuador,2240,54,75
2020-03-31,Egypt,710,157,46
2020-03-31,El Salvador,32,0,1
2020-03-31,Equatorial Guinea,12,1,0
2020-03-31,Eritrea,15,0,0
2020-03-31,Estonia,745,26,4
2020-03-31,Eswatini,9,0,0
2020-03-31,Ethiopia,26,2,0
2020-03-31,Fiji,5,0,0
2020-03-31,Finland,1418,10,17
